Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bibiela-Kalety,P,tylko pzb.,"
-",-,tarnogórski
2,Dąbrówka Wielka,Z,tylko pzb.,-,-,"m.Piekary
Śląskie"
1,Jaworzno,Z,tylko pzb.,-,-,m.Jaworzno
1,Bolesław,Z,"
tylko pzb.",-,-,olkuski
2,Chechło,P,"1 605
76
49",-,-,olkuski
3,Jaroszowiec-Pazurek,"
P","169
3
3",-,-,olkuski
4,"
Klucze",R,"3 667
199
133",-,-,olkuski
5,Klucze I,E,"1 108
58
18","675
40
11","29
1
1",olkuski
6,"
Krzykawa",Z,tylko pzb.,-,-,"będziński,
m.Dąbrowa
Górnicza,
olkuski"
7,"
Laski",R,"8 010
293
63",-,-,"m.Dąbrowa
Górnicza,
olkuski"
9,Pomorzany,E,"16 446
684
301","9 465
433
218","2 367
86
34",".
olkuski"
10,Sikorka,R,"4 827
204
236",-,"
-",olkuski
1,Gołuchowice,R,"16 916
562
149","
-",-,"będziński,
m.Dąbrowa
Górnicza,
zawierciański"
2,Marciszów,P,"778
34
13","
-",-,"myszkowski,
zawierciański"
3,Poręba,P,"
799
29
16",-,-,"będziński,
zawierciański"
4,"Rodaki-Rokitno
Szlacheckie",P,"
2 632
111
27",-,-,zawierciański
5,Siewierz,P,"
317
9
18","-
-
-","-
-
-","będziński,
zawierciański"
6,Zawiercie I-cz.wyniesiona,R,"17 008
987
394","-
-
-","-
-
-",zawierciański
7,Zawiercie II (cz.zrzucona),"
R","2 865
200
71","-
-
-","-
-
-",zawierciański
